run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-89-20210519-11:43:33-23590,runattr,,,seedset,89,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,configname,General,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,datetime,20210519-11:43:33,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,experiment,General,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,inifile,omnetpp.ini,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,iterationvars,,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,iterationvarsf,,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,measurement,,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,network,EarthquakeDetector,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,processid,23595,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,repetition,90,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,replication,#90,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,resultdir,results,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,runnumber,90,,,,,,,
General-90-20210519-11:43:33-23595,runattr,,,seedset,90,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,configname,General,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,datetime,20210519-11:43:34,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,experiment,General,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,inifile,omnetpp.ini,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,iterationvars,,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,iterationvarsf,,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,measurement,,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,network,EarthquakeDetector,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,processid,23600,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,repetition,91,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,replication,#91,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,resultdir,results,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,runnumber,91,,,,,,,
General-91-20210519-11:43:34-23600,runattr,,,seedset,91,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,configname,General,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,datetime,20210519-11:43:35,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,experiment,General,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,inifile,omnetpp.ini,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,iterationvars,,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,iterationvarsf,,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,measurement,,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,network,EarthquakeDetector,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,processid,23611,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,repetition,93,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,replication,#93,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,resultdir,results,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,runnumber,93,,,,,,,
General-93-20210519-11:43:35-23611,runattr,,,seedset,93,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,configname,General,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,datetime,20210519-11:43:34,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,experiment,General,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,inifile,omnetpp.ini,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,iterationvars,,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,iterationvarsf,,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,measurement,,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,network,EarthquakeDetector,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,processid,23605,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,repetition,92,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,replication,#92,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,resultdir,results,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,runnumber,92,,,,,,,
General-92-20210519-11:43:34-23605,runattr,,,seedset,92,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,configname,General,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,datetime,20210519-11:43:35,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,experiment,General,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,inifile,omnetpp.ini,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,iterationvars,,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,iterationvarsf,,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,measurement,,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,network,EarthquakeDetector,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,processid,23616,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,repetition,94,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,replication,#94,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,resultdir,results,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,runnumber,94,,,,,,,
General-94-20210519-11:43:35-23616,runattr,,,seedset,94,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,configname,General,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,datetime,20210519-11:43:36,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,experiment,General,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,inifile,omnetpp.ini,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,iterationvars,,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,iterationvarsf,,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,measurement,,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,network,EarthquakeDetector,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,processid,23622,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,repetition,95,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,replication,#95,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,resultdir,results,,,,,,,
General-95-20210519-11:43:36-23622,runattr,,,runnumber,95,,,,,,,
