run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-89-20210519-12:19:03-25192,runattr,,,configname,General,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,datetime,20210519-12:19:03,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,experiment,General,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,inifile,omnetpp.ini,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,iterationvars,,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,iterationvarsf,,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,measurement,,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,network,EarthquakeDetector,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,processid,25192,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,repetition,89,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,replication,#89,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,resultdir,results,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,runnumber,89,,,,,,,
General-89-20210519-12:19:03-25192,runattr,,,seedset,89,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,configname,General,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,datetime,20210519-12:19:04,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,experiment,General,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,inifile,omnetpp.ini,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,iterationvars,,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,iterationvarsf,,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,measurement,,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,network,EarthquakeDetector,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,processid,25197,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,repetition,90,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,replication,#90,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,resultdir,results,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,runnumber,90,,,,,,,
General-90-20210519-12:19:04-25197,runattr,,,seedset,90,,,,,,,
General-96-20210519-12:19:07-25228,runattr,,,configname,General,,,,,,,
