run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-2-20210518-20:51:03-20650,runattr,,,resultdir,results,,,,,,,,
General-2-20210518-20:51:03-20650,runattr,,,runnumber,2,,,,,,,,
General-2-20210518-20:51:03-20650,runattr,,,seedset,2,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,configname,General,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,datetime,20210518-20:52:59,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,experiment,General,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,iterationvars,,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,iterationvarsf,,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,measurement,,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,network,EarthquakeDetector,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,processid,21500,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,repetition,28,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,replication,#28,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,resultdir,results,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,runnumber,28,,,,,,,,
General-28-20210518-20:52:59-21500,runattr,,,seedset,28,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,configname,General,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,datetime,20210518-20:53:03,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,experiment,General,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,iterationvars,,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,iterationvarsf,,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,measurement,,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,network,EarthquakeDetector,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,processid,21535,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,repetition,29,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,replication,#29,,,,,,,,
General-29-20210518-20:53:03-21535,runattr,,,resultdir,results,,,,,,,,
