run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-10-20210518-20:51:39-20895,runattr,,,iterationvarsf,,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,measurement,,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,network,EarthquakeDetector,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,processid,20895,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,repetition,10,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,replication,#10,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,resultdir,results,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,runnumber,10,,,,,,,,
General-10-20210518-20:51:39-20895,runattr,,,seedset,10,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,configname,General,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,datetime,20210518-20:52:45,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,experiment,General,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,iterationvars,,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,iterationvarsf,,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,measurement,,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,network,EarthquakeDetector,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,processid,21404,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,repetition,25,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,replication,#25,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,resultdir,results,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,runnumber,25,,,,,,,,
General-25-20210518-20:52:45-21404,runattr,,,seedset,25,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,configname,General,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,datetime,20210518-20:52:37,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,experiment,General,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,iterationvars,,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,iterationvarsf,,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,measurement,,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,network,EarthquakeDetector,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,processid,21343,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,repetition,23,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,replication,#23,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,resultdir,results,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,runnumber,23,,,,,,,,
General-23-20210518-20:52:37-21343,runattr,,,seedset,23,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,configname,General,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,datetime,20210518-20:51:21,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,experiment,General,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,iterationvars,,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,iterationvarsf,,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,measurement,,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,network,EarthquakeDetector,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,processid,20775,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,repetition,6,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,replication,#6,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,resultdir,results,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,runnumber,6,,,,,,,,
General-6-20210518-20:51:21-20775,runattr,,,seedset,6,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,configname,General,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,datetime,20210518-20:51:26,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,experiment,General,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,iterationvars,,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,iterationvarsf,,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,measurement,,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,network,EarthquakeDetector,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,processid,20802,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,repetition,7,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,replication,#7,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,resultdir,results,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,runnumber,7,,,,,,,,
General-7-20210518-20:51:26-20802,runattr,,,seedset,7,,,,,,,,
General-0-20210518-20:50:38-20571,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020089999746,0.020089999746,,,,,
General-0-20210518-20:50:38-20571,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-0-20210518-20:50:38-20571,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-0-20210518-20:50:38-20571,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-1-20210518-20:50:38-20570,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020869999982,0.020869999982,,,,,
General-1-20210518-20:50:38-20570,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-1-20210518-20:50:38-20570,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-1-20210518-20:50:38-20570,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-2-20210518-20:51:03-20650,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021190000206,0.021190000206,,,,,
General-2-20210518-20:51:03-20650,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-2-20210518-20:51:03-20650,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-2-20210518-20:51:03-20650,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,0.0208073333149
General-3-20210518-20:51:07-20678,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021569999724,0.021569999724,,,,,
General-3-20210518-20:51:07-20678,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-3-20210518-20:51:07-20678,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-3-20210518-20:51:07-20678,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-4-20210518-20:51:12-20713,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.02089000025,0.02089000025,,,,,
General-4-20210518-20:51:12-20713,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-4-20210518-20:51:12-20713,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-4-20210518-20:51:12-20713,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-5-20210518-20:51:16-20739,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020999999806,0.020999999806,,,,,
General-5-20210518-20:51:16-20739,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-5-20210518-20:51:16-20739,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-5-20210518-20:51:16-20739,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-6-20210518-20:51:21-20775,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021729999895,0.021729999895,,,,,
General-6-20210518-20:51:21-20775,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-6-20210518-20:51:21-20775,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-6-20210518-20:51:21-20775,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-7-20210518-20:51:26-20802,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021169999588,0.021169999588,,,,,
General-7-20210518-20:51:26-20802,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-7-20210518-20:51:26-20802,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-7-20210518-20:51:26-20802,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-8-20210518-20:51:30-20834,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021319999916,0.021319999916,,,,,
General-8-20210518-20:51:30-20834,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-8-20210518-20:51:30-20834,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-8-20210518-20:51:30-20834,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-9-20210518-20:51:35-20860,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021140000291,0.021140000291,,,,,
General-9-20210518-20:51:35-20860,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-9-20210518-20:51:35-20860,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-9-20210518-20:51:35-20860,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-10-20210518-20:51:39-20895,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020540000029,0.020540000029,,,,,
General-10-20210518-20:51:39-20895,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-10-20210518-20:51:39-20895,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-10-20210518-20:51:39-20895,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-11-20210518-20:51:44-20924,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020909999588,0.020909999588,,,,,
General-11-20210518-20:51:44-20924,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-11-20210518-20:51:44-20924,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-11-20210518-20:51:44-20924,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-12-20210518-20:51:49-20961,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.02065000017,0.02065000017,,,,,
General-12-20210518-20:51:49-20961,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-12-20210518-20:51:49-20961,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-12-20210518-20:51:49-20961,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-13-20210518-20:51:52-20997,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021120000371,0.021120000371,,,,,
General-13-20210518-20:51:52-20997,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-13-20210518-20:51:52-20997,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-13-20210518-20:51:52-20997,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-14-20210518-20:51:57-21030,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021030000152,0.021030000152,,,,,
General-14-20210518-20:51:57-21030,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-14-20210518-20:51:57-21030,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-14-20210518-20:51:57-21030,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-15-20210518-20:52:01-21066,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021509999616,0.021509999616,,,,,
General-15-20210518-20:52:01-21066,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-15-20210518-20:52:01-21066,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-15-20210518-20:52:01-21066,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-16-20210518-20:52:06-21101,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021720000051,0.021720000051,,,,,
General-16-20210518-20:52:06-21101,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-16-20210518-20:52:06-21101,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-16-20210518-20:52:06-21101,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-17-20210518-20:52:10-21136,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.018840000007,0.018840000007,,,,,
General-17-20210518-20:52:10-21136,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-17-20210518-20:52:10-21136,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-17-20210518-20:52:10-21136,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-18-20210518-20:52:15-21162,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.019269999905,0.019269999905,,,,,
General-18-20210518-20:52:15-21162,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-18-20210518-20:52:15-21162,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-18-20210518-20:52:15-21162,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-19-20210518-20:52:19-21198,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020949999543,0.020949999543,,,,,
General-19-20210518-20:52:19-21198,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-19-20210518-20:52:19-21198,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-19-20210518-20:52:19-21198,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-20-20210518-20:52:25-21245,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020499999958,0.020499999958,,,,,
General-20-20210518-20:52:25-21245,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-20-20210518-20:52:25-21245,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-20-20210518-20:52:25-21245,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-21-20210518-20:52:29-21285,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.019689999844,0.019689999844,,,,,
General-21-20210518-20:52:29-21285,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-21-20210518-20:52:29-21285,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-21-20210518-20:52:29-21285,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-22-20210518-20:52:33-21316,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021089999679,0.021089999679,,,,,
General-22-20210518-20:52:33-21316,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-22-20210518-20:52:33-21316,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-22-20210518-20:52:33-21316,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-23-20210518-20:52:37-21343,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020150000204,0.020150000204,,,,,
General-23-20210518-20:52:37-21343,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-23-20210518-20:52:37-21343,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-23-20210518-20:52:37-21343,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-24-20210518-20:52:41-21369,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.019990000381,0.019990000381,,,,,
General-24-20210518-20:52:41-21369,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-24-20210518-20:52:41-21369,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-24-20210518-20:52:41-21369,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-25-20210518-20:52:45-21404,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021780000041,0.021780000041,,,,,
General-25-20210518-20:52:45-21404,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-25-20210518-20:52:45-21404,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-25-20210518-20:52:45-21404,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-26-20210518-20:52:50-21432,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021200000515,0.021200000515,,,,,
General-26-20210518-20:52:50-21432,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-26-20210518-20:52:50-21432,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-26-20210518-20:52:50-21432,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-27-20210518-20:52:54-21467,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020500000075,0.020500000075,,,,,
General-27-20210518-20:52:54-21467,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-27-20210518-20:52:54-21467,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-27-20210518-20:52:54-21467,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-28-20210518-20:52:59-21500,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.021359999638,0.021359999638,,,,,
General-28-20210518-20:52:59-21500,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-28-20210518-20:52:59-21500,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-28-20210518-20:52:59-21500,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
General-29-20210518-20:53:03-21535,vector,EarthquakeDetector.M,latencyMain:vector,,,,0.020450000276,0.020450000276,,,,,
General-29-20210518-20:53:03-21535,attr,EarthquakeDetector.M,latencyMain:vector,interpolationmode,none,,,,,,,,
General-29-20210518-20:53:03-21535,attr,EarthquakeDetector.M,latencyMain:vector,source,latency,,,,,,,,
General-29-20210518-20:53:03-21535,attr,EarthquakeDetector.M,latencyMain:vector,title,"latency, vector",,,,,,,,
